Planet,Satellite,a
Earth,Moon,384400
Mars,Phobos,9400
Mars,Deimos,23500
Jupiter,Io,421800
Jupiter,Europa,671100
Jupiter,Ganymede,1070400
Jupiter,Callisto,1882700
Jupiter,Amalthea,181400
Jupiter,Thebe,221900
Jupiter,Adrastea,129000
Jupiter,Metis,128000
Jupiter,Himalia,11440600
Jupiter,Elara,11712300
Jupiter,Pasiphae,23468200
Jupiter,Sinope,23683900
Jupiter,Lysithea,11700800
Jupiter,Carme,23144400
Jupiter,Ananke,21034500
Jupiter,Leda,11146400
Jupiter,Callirrhoe,23795500
Jupiter,Themisto,7398500
Jupiter,Magaclite,23644600
Jupiter,Taygete,23108000
Jupiter,Chaldene,22930500
Jupiter,Harpalyke,20892100
Jupiter,Kalyke,23302600
Jupiter,Iocaste,21066700
Jupiter,Erinome,23032900
Jupiter,Isonoe,22981300
Jupiter,Praxidike,20935400
Jupiter,Autonoe,23792500
Jupiter,Thyone,20978000
Jupiter,Hermippe,21108500
Jupiter,Aitne,23064400
Jupiter,Eurydome,22899000
Jupiter,Euanthe,20827000
Jupiter,Euporie,19265800
Jupiter,Orthosie,20901000
Jupiter,Sponde,23543300
Jupiter,Kale,23052600
Jupiter,Pasithee,22846700
Jupiter,Hegemone,23348700
Jupiter,Mneme,20821000
Jupiter,Aoede,23778200
Jupiter,Thelxinoe,20976000
Jupiter,Arche,23097800
Jupiter,Kallichore,23021800
Jupiter,Helike,20915700
Jupiter,Carpo,17042300
Jupiter,Eukelade,23067400
Jupiter,Cyllene,23654700
Jupiter,Kore,24205200
Jupiter,Herse,23150500
Jupiter,S2010_j1,23189800
Jupiter,S2010_j2,20793000
Jupiter,Dia,12260300
Jupiter,S2016_j1,20802600
Jupiter,S2003_j18,20336300
Jupiter,S2011_j2,22909200
Jupiter,Eirene,23055800
Jupiter,Philophrosyne,22604600
Jupiter,S2017_j1,23744800
Jupiter,Eupheme,20768600
Jupiter,S2003_j19,23156400
Jupiter,Valetudo,18694200
Jupiter,S2017_j2,22953200
Jupiter,S2017_j3,20941000
Jupiter,Pandia,11481000
Jupiter,S2017_j5,23206200
Jupiter,S2017_j6,23245300
Jupiter,S2017_j7,20964800
Jupiter,S2017_j8,22849500
Jupiter,S2017_j9,21768700
Jupiter,Ersa,11401000
Jupiter,S2011_j1,23124500
Jupiter,S2003_j2,20997700
Jupiter,S2003_j4,22926500
Jupiter,S2003_j9,23199400
Jupiter,S2003_j10,23576300
Jupiter,S2003_j12,20963100
Jupiter,S2003_j16,20882600
Jupiter,S2003_j23,23829300
Jupiter,S2003_j24,22887400
Jupiter,S2011_j3,11716800
Jupiter,S2018_j2,11419700
Jupiter,S2018_j3,23400300
Jupiter,S2021_j1,20954700
Jupiter,S2021_j2,20926600
Jupiter,S2021_j3,20776700
Jupiter,S2021_j4,23019700
Jupiter,S2021_j5,23414600
Jupiter,S2021_j6,22870300
Jupiter,S2016_j3,22719300
Jupiter,S2016_j4,23113800
Jupiter,S2018_j4,16328500
Jupiter,S2022_j1,22725200
Jupiter,S2022_j2,23013800
Jupiter,S2022_j3,21047700
Saturn,Mimas,186000
Saturn,Enceladus,238400
Saturn,Tethys,295000
Saturn,Dione,377700
Saturn,Rhea,527200
Saturn,Titan,1221900
Saturn,Hyperion,1481500
Saturn,Iapetus,3561700
Saturn,Phoebe,12929400
Saturn,Helene,377600
Saturn,Telesto,295000
Saturn,Calypso,295000
Saturn,Methone,194700
Saturn,Polydeuces,377600
Saturn,Janus,151500
Saturn,Epimetheus,151400
Saturn,Atlas,137700
Saturn,Prometheus,139400
Saturn,Pandora,141700
Saturn,Pan,133600
Saturn,Pallene,212300
Saturn,Daphnis,136500
Saturn,Anthe,198100
Saturn,Aegaeon,167500
Saturn,Ymir,22957100
Saturn,Paaliaq,14997300
Saturn,Tarvos,18215100
Saturn,Ijiraq,11344600
Saturn,Suttungr,19391700
Saturn,Kiviuq,11307300
Saturn,Mundilfari,18590300
Saturn,Albiorix,16329100
Saturn,Skathi,15575100
Saturn,Erriapus,17507200
Saturn,Siarnaq,17880800
Saturn,Thrymr,20326500
Saturn,Narvi,19286500
Saturn,Aegir,20664600
Saturn,Bebhionn,17028900
Saturn,Bergelmir,19269100
Saturn,Bestla,20337900
Saturn,Farbauti,20292500
Saturn,Fenrir,22331800
Saturn,Fornjot,24937300
Saturn,Hati,19697100
Saturn,Hyrrokkin,18342600
Saturn,Kari,22029700
Saturn,Loge,22918300
Saturn,Skoll,17625700
Saturn,Surtur,22753800
Saturn,Jarnsaxa,19279700
Saturn,Greip,18380400
Saturn,Tarqeq,17748200
Saturn,Gridr,19250700
Saturn,Angrboda,20591000
Saturn,Skrymir,21448000
Saturn,Gerd,20947500
Saturn,S2004_s26,26097100
Saturn,Eggther,19844700
Saturn,S2004_s29,17063900
Saturn,Beli,20703800
Saturn,Gunnlod,21141900
Saturn,Thiazzi,23577500
Saturn,S2004_s34,24145500
Saturn,Alvaldi,21995600
Saturn,Geirrod,22259500
Saturn,S2004_s31,17497300
Saturn,S2004_s24,23338900
Saturn,S2004_s28,21865900
Saturn,S2004_s21,23123500
Saturn,S2004_s36,23430300
Saturn,S2004_s37,15940400
Saturn,S2004_s39,23195400
Saturn,S2004_s07,21328200
Saturn,S2004_s12,19801200
Saturn,S2004_s13,18453300
Saturn,S2004_s17,19699300
Saturn,S2006_s01,18745000
Saturn,S2006_s03,21353000
Saturn,S2007_s02,15939100
Saturn,S2007_s03,19513700
Saturn,S2019_s01,11245400
Saturn,S2019_s02,16559900
Saturn,S2019_s03,17077200
Saturn,S2020_s01,11338700
Saturn,S2020_s02,17869300
Saturn,S2004_s40,16075600
Saturn,S2006_s09,14406600
Saturn,S2007_s05,15835700
Saturn,S2020_s03,18054700
Saturn,S2019_s04,17956700
Saturn,S2004_s41,18095000
Saturn,S2020_s04,18235500
Saturn,S2020_s05,18391300
Saturn,S2007_s06,18544900
Saturn,S2004_s42,18240800
Saturn,S2006_s10,18979900
Saturn,S2019_s05,19076900
Saturn,S2004_s43,18935000
Saturn,S2004_s44,19515400
Saturn,S2004_s45,19693600
Saturn,S2006_s11,19711900
Saturn,S2006_s12,19569800
Saturn,S2019_s06,20048600
Saturn,S2006_s13,19953800
Saturn,S2019_s07,20181300
Saturn,S2019_s08,20284400
Saturn,S2019_s09,20359000
Saturn,S2004_s46,20513000
Saturn,S2019_s10,20713400
Saturn,S2004_s47,16050600
Saturn,S2019_s11,20663700
Saturn,S2006_s14,21062100
Saturn,S2019_s12,20904500
Saturn,S2020_s06,21265300
Saturn,S2019_s13,20965800
Saturn,S2005_s04,11324500
Saturn,S2007_s07,15931700
Saturn,S2007_s08,17049000
Saturn,S2020_s07,17400000
Saturn,S2019_s14,17853000
Saturn,S2019_s15,21189700
Saturn,S2005_s05,21366200
Saturn,S2006_s15,21799400
Saturn,S2006_s16,21720700
Saturn,S2006_s17,22384900
Saturn,S2004_s48,22136700
Saturn,S2020_s08,21966700
Saturn,S2004_s49,22399700
Saturn,S2004_s50,22346000
Saturn,S2006_s18,22760700
Saturn,S2019_s16,23266700
Saturn,S2019_s17,22724100
Saturn,S2019_s18,23140700
Saturn,S2019_s19,23047200
Saturn,S2019_s20,23678600
Saturn,S2006_s19,23801100
Saturn,S2004_s51,25208200
Saturn,S2020_s09,25434100
Saturn,S2004_s52,26448100
Saturn,S2007_s09,20174600
Saturn,S2004_s53,23279800
Saturn,S2020_s10,25314800
Saturn,S2019_s21,26439000
Saturn,S2006_s20,13193800
Uranus,Ariel,190900
Uranus,Umbriel,266000
Uranus,Titania,436300
Uranus,Oberon,583400
Uranus,Miranda,129900
Uranus,Puck,86000
Uranus,Cordelia,49800
Uranus,Ophelia,53800
Uranus,Bianca,59200
Uranus,Cressida,61800
Uranus,Desdemona,62700
Uranus,Juliet,64400
Uranus,Portia,66100
Uranus,Rosalind,69900
Uranus,Belinda,75300
Uranus,Puck,86000
Uranus,Perdita,76400
Uranus,Mab,97700
Uranus,Cupid,74400
Uranus,Caliban,7230000
Uranus,Sycorax,12180000
Uranus,Prospero,16267000
Uranus,Setebos,17444000
Uranus,Stephano,8004000
Uranus,Trinculo,8505000
Uranus,Francisco,4283000
Uranus,Margaret,14070000
Uranus,Ferdinand,20648000
Neptune,Triton,354800
Neptune,Naiad,48200
Neptune,Thalassa,50100
Neptune,Despina,52500
Neptune,Galatea,62000
Neptune,Larissa,73500
Neptune,Proteus,117600
Neptune,Hippocamp,105300
Neptune,Nereid,5504000
Neptune,Halimede,16590100
Neptune,Psamathe,47611900
Neptune,Sao,22239300
Neptune,Laomedeia,23502300
Neptune,Neso,49871600
Pluto,Charon,19600
Pluto,Nix,48700
Pluto,Hydra,64700
Pluto,Kerberos,57800
Pluto,Styx,42400
